date	ouv	haut	bas	clot	vol	devise	
16/01/2025 00:00	690	700.7	678	695.5	1078089	EUR	
17/01/2025 00:00	691.1	699.5	685.6	690.1	714731	EUR	
20/01/2025 00:00	690	696.2	680.9	683.1	418509	EUR	
21/01/2025 00:00	684	701.3	683.1	701.3	521191	EUR	
22/01/2025 00:00	700	714.3	697.8	713.8	617979	EUR	
23/01/2025 00:00	715.1	721.4	708.9	720.6	575485	EUR	
24/01/2025 00:00	750	750	725.2	734.1	713005	EUR	
27/01/2025 00:00	735.2	754.8	728.6	754.8	633190	EUR	
28/01/2025 00:00	749.3	762.7	746.3	750.6	567637	EUR	
29/01/2025 00:00	720.5	722.2	700	713.2	984358	EUR	
30/01/2025 00:00	718.4	718.9	710.8	715.8	420057	EUR	
31/01/2025 00:00	716.9	718	698.8	703.5	578611	EUR	
03/02/2025 00:00	685.1	693.8	683.3	690.1	695271	EUR	
04/02/2025 00:00	692.3	695.3	682.9	692.7	370853	EUR	
05/02/2025 00:00	688	691.7	680	686	356956	EUR	
06/02/2025 00:00	684.8	699.4	679	696.9	477187	EUR	
07/02/2025 00:00	695	696	682.8	684.2	401010	EUR	
10/02/2025 00:00	684.4	687.1	678.8	685.3	336364	EUR	
11/02/2025 00:00	681.9	687.3	677.8	685.2	297413	EUR	
12/02/2025 00:00	687.9	691.1	672	687.8	443368	EUR	
13/02/2025 00:00	698.8	708.8	694.5	707.2	501427	EUR	
14/02/2025 00:00	720	723	711.1	713	594098	EUR	
17/02/2025 00:00	708	710.3	698.3	701.5	336521	EUR	
18/02/2025 00:00	705.2	707.6	699.2	705.1	338875	EUR	
19/02/2025 00:00	702.9	703.8	688.5	690.9	426698	EUR	
20/02/2025 00:00	685.6	699.6	685.5	695.5	333595	EUR	
21/02/2025 00:00	695.5	707.1	695.5	702.4	459121	EUR	
24/02/2025 00:00	701.4	701.9	688.5	692.1	364363	EUR	
25/02/2025 00:00	689.1	690.5	683.2	684.2	348738	EUR	
26/02/2025 00:00	694	706.9	692.6	700.3	384640	EUR	
27/02/2025 00:00	689	697.9	686	693.1	394320	EUR	
28/02/2025 00:00	683.5	694.9	680.2	694.9	864547	EUR	
03/03/2025 00:00	691.2	700.9	685	690.8	481251	EUR	
04/03/2025 00:00	680.9	682.9	662.1	667.4	615046	EUR	
05/03/2025 00:00	680.3	681.4	664.3	664.3	593863	EUR	
06/03/2025 00:00	669.8	669.8	646.3	653	639967	EUR	
07/03/2025 00:00	647.7	647.8	628.6	634.7	809708	EUR	
10/03/2025 00:00	636.2	640	624.7	630.3	643780	EUR	
11/03/2025 00:00	635.8	635.8	616.5	620.8	538927	EUR	
12/03/2025 00:00	624.5	625.4	605.6	611.8	594281	EUR	
13/03/2025 00:00	606	616.8	598.6	605	696157	EUR	
14/03/2025 00:00	604	619.4	600.1	605.1	583739	EUR	
17/03/2025 00:00	605.4	611.2	600	609.7	424490	EUR	
